name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,category,foldseek_match_coverage
RANDOM_MGC_24,5,25,5,2,3.332,0.332,0.6664,0.166,0.0,0.0,0.166,0.166,1.0,0.166,1.0,0.6,0.0,0.4,1.6094379124341003,2.23606797749979,0.3,2.2213333333333334,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_23,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_35,4,16,4,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.3862943611198906,2.0,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_59,5,25,5,0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.6094379124341003,2.23606797749979,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
BGC0002724,8,64,8,4,6.658,2.658,0.83225,0.6645,0.001776999999999998,0.04215447781671596,0.665,0.6829999999999999,1.0,0.627,1.0,1.0,0.0,0.0,2.0794415416798357,2.8284271247461903,0.3,2.774166666666667,small,12.62617941358869,8.646768240963976,MIBiG,1.0
RANDOM_MGC_74,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_5,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_18,4,16,4,1,3.093,0.093,0.77325,0.093,,0.0,0.093,0.77325,1.0,0.093,1.0,0.75,0.0,0.25,1.3862943611198906,2.0,0.3,2.5775,small,0.0,0.0,RANDOM,0.0
MGC_CANDIDATE_343,13,169,13,8,11.072000000000003,6.072,0.8516923076923079,0.759,0.01384799999999999,0.11767752546684515,0.7065,0.687,1.0,0.678,1.0,1.0,0.0,0.0,2.5649493574615367,3.605551275463989,0.3,2.8389743589743595,medium,4.688170536418558,3.9004899039053993,MGC,1.0
RANDOM_MGC_15,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
