cluster_name,category,mean_cladepp_score,weighted_cladepp_score,positive_correlation_ratio,n_clades_analyzed,total_clades,conservation_level
MGC_CANDIDATE_166,MGC_CANDIDATE,0.44967740479725765,0.5303935382740605,0.497523273720871,93,93,Medium
MGC_CANDIDATE_167,MGC_CANDIDATE,0.4950664717433889,0.5490346887134951,0.44586479863534445,96,96,High
MGC_CANDIDATE_168,MGC_CANDIDATE,0.6142543417763228,0.6428952563524454,0.6552685374448394,100,100,High
MGC_CANDIDATE_169,MGC_CANDIDATE,0.37668645793528166,0.3227341992975794,0.38170026045098815,101,101,Medium
MGC_CANDIDATE_170,MGC_CANDIDATE,0.3203106593727544,0.3143040432492853,0.2919874764450452,98,98,Medium
MGC_CANDIDATE_171,MGC_CANDIDATE,0.30525284975452943,0.37108839514185477,0.3441050370796748,96,96,Medium
MGC_CANDIDATE_172,MGC_CANDIDATE,0.3134266393973329,0.2997730986495924,0.26412192081248814,102,102,Medium
MGC_CANDIDATE_173,MGC_CANDIDATE,0.3953494204259758,0.45521103448021705,0.21692613313042836,84,84,Medium
MGC_CANDIDATE_174,MGC_CANDIDATE,0.4417337540071658,0.44416487190168796,0.34896152713179235,115,115,Medium
MGC_CANDIDATE_175,MGC_CANDIDATE,0.43458500964569907,0.31819695618684457,0.3297991471576045,95,95,Medium
MGC_CANDIDATE_176,MGC_CANDIDATE,0.495634622318095,0.5273793043630208,0.3352227065260078,103,103,High
MGC_CANDIDATE_177,MGC_CANDIDATE,0.4053419098092599,0.45666851949464593,0.4422819164440304,85,85,Medium
MGC_CANDIDATE_178,MGC_CANDIDATE,0.5650969291567465,0.5623281820147633,0.5478202600956957,94,94,High
MGC_CANDIDATE_179,MGC_CANDIDATE,0.37454955719391064,0.42073342796666247,0.4099436637748926,84,84,Medium
MGC_CANDIDATE_180,MGC_CANDIDATE,0.7055667605747887,0.5878903949203121,0.7576418961351262,100,100,High
MGC_CANDIDATE_181,MGC_CANDIDATE,0.4732865088671392,0.40770962153993917,0.5489333925431634,82,82,Medium
MGC_CANDIDATE_182,MGC_CANDIDATE,0.30884122699343425,0.31516828142106873,0.3495334011083124,78,78,Medium
MGC_CANDIDATE_183,MGC_CANDIDATE,0.28513802196502264,0.29874237693904976,0.18717716228560075,102,102,Medium
MGC_CANDIDATE_184,MGC_CANDIDATE,0.45740619085046924,0.5194569481375726,0.5153587433755668,97,97,Medium
MGC_CANDIDATE_185,MGC_CANDIDATE,0.3791179771073631,0.4033407522431746,0.4012984510281337,101,101,Medium
MGC_CANDIDATE_186,MGC_CANDIDATE,0.483082654794813,0.425420503861735,0.7020931327072957,105,105,High
MGC_CANDIDATE_187,MGC_CANDIDATE,0.4563820525652061,0.46610507239444005,0.4571738865525066,98,98,Medium
MGC_CANDIDATE_188,MGC_CANDIDATE,0.3958232735863528,0.41960146397906495,0.434113252159646,87,87,Medium
MGC_CANDIDATE_189,MGC_CANDIDATE,0.3099905766662139,0.25189108885985917,0.30050801578478364,99,99,Medium
MGC_CANDIDATE_190,MGC_CANDIDATE,0.2359034427823376,0.23487411420916393,0.2407930278519924,88,88,Medium
MGC_CANDIDATE_191,MGC_CANDIDATE,0.35438149181576734,0.3424890675609515,0.3525201564074577,87,87,Medium
MGC_CANDIDATE_192,MGC_CANDIDATE,0.4988746262904731,0.46621365004048615,0.45541226867040785,113,113,High
MGC_CANDIDATE_193,MGC_CANDIDATE,0.4276429962240396,0.4489728475099702,0.44537836199953124,100,100,Medium
MGC_CANDIDATE_194,MGC_CANDIDATE,0.26574756944084055,0.2351950623094602,0.3279236136531515,95,95,Medium
MGC_CANDIDATE_195,MGC_CANDIDATE,0.4231057646768961,0.44074417714733966,0.3811550967398302,110,110,Medium
MGC_CANDIDATE_196,MGC_CANDIDATE,0.446631697411928,0.4716203446844765,0.5301890262629506,80,80,Medium
MGC_CANDIDATE_197,MGC_CANDIDATE,0.30588021032529433,0.3390303852538407,0.3773112432852738,85,85,Medium
MGC_CANDIDATE_198,MGC_CANDIDATE,0.420948114249359,0.37365799223096385,0.3329218890666944,85,85,Medium
MGC_CANDIDATE_199,MGC_CANDIDATE,0.4103553468756614,0.34858725589546186,0.31398637431384696,100,100,Medium
MGC_CANDIDATE_200,MGC_CANDIDATE,0.2771445939705839,0.28487425667187405,0.32195993398127654,92,92,Medium
MGC_CANDIDATE_201,MGC_CANDIDATE,0.44357861826262457,0.43088023842588735,0.3848250397647099,87,87,Medium
MGC_CANDIDATE_202,MGC_CANDIDATE,0.4660910039742372,0.6013809214774154,0.36151993924728787,84,84,Medium
MGC_CANDIDATE_203,MGC_CANDIDATE,0.5240103828681382,0.5480361790761898,0.6957001274834784,93,93,High
MGC_CANDIDATE_204,MGC_CANDIDATE,0.5207666475706707,0.5237955155327865,0.4241338911408022,104,104,High
MGC_CANDIDATE_205,MGC_CANDIDATE,0.2511164670935586,0.24677647252911225,0.09875692227763466,99,99,Medium
MGC_CANDIDATE_206,MGC_CANDIDATE,0.2998952030734129,0.26336611262400894,0.22152586423130144,90,90,Medium
MGC_CANDIDATE_207,MGC_CANDIDATE,0.46101741113344036,0.4870133325063436,0.48418223050569675,102,102,Medium
MGC_CANDIDATE_208,MGC_CANDIDATE,0.46087886195616395,0.45723123499244633,0.4682340696895853,85,85,Medium
MGC_CANDIDATE_209,MGC_CANDIDATE,0.4610187884113407,0.45740838046627397,0.6497401314278238,95,95,Medium
MGC_CANDIDATE_210,MGC_CANDIDATE,0.8311679223136086,0.8390177485767191,0.7543286275363321,104,104,High
MGC_CANDIDATE_211,MGC_CANDIDATE,0.4672117576358722,0.4775470671272436,0.4908273983346645,101,101,Medium
MGC_CANDIDATE_212,MGC_CANDIDATE,0.5298342294960284,0.4376825119908957,0.6426831183349434,83,83,High
MGC_CANDIDATE_213,MGC_CANDIDATE,0.5096987955713961,0.5523617573926773,0.44379721072206124,97,97,High
MGC_CANDIDATE_214,MGC_CANDIDATE,0.476139289769813,0.43583674742436235,0.5465117105767101,94,94,Medium
MGC_CANDIDATE_215,MGC_CANDIDATE,0.36893664076938565,0.3638441272441765,0.1857195306834882,89,89,Medium
MGC_CANDIDATE_216,MGC_CANDIDATE,0.48806968655270333,0.550830807709272,0.6639451404937772,93,93,High
MGC_CANDIDATE_217,MGC_CANDIDATE,0.3181936837077833,0.374814613962089,0.4176694598585048,106,106,Medium
MGC_CANDIDATE_218,MGC_CANDIDATE,0.377636816512533,0.31341988588251923,0.30956931679163585,101,101,Medium
MGC_CANDIDATE_219,MGC_CANDIDATE,0.3500731825457524,0.3511319728537136,0.43305496032912405,97,97,Medium
MGC_CANDIDATE_220,MGC_CANDIDATE,0.41297984205794314,0.42425060646848317,0.5442981320039365,101,101,Medium
MGC_CANDIDATE_221,MGC_CANDIDATE,0.660595635044092,0.5610088595440945,0.5317287766624191,87,87,High
MGC_CANDIDATE_222,MGC_CANDIDATE,0.19682029014157512,0.21261691666256574,0.13683250024409704,95,95,Medium
MGC_CANDIDATE_223,MGC_CANDIDATE,0.48000625511253353,0.48558693635202693,0.6146145964968268,89,89,High
MGC_CANDIDATE_224,MGC_CANDIDATE,0.22504980988506762,0.22941936789491965,0.23179709882906394,90,90,Medium
MGC_CANDIDATE_225,MGC_CANDIDATE,0.3515627560839518,0.3193050128014354,0.39517937265390013,93,93,Medium
MGC_CANDIDATE_226,MGC_CANDIDATE,0.5246646212036808,0.5463273226386544,0.5316843440643099,84,84,High
MGC_CANDIDATE_227,MGC_CANDIDATE,0.4110286541176868,0.4454820605821026,0.5001775384842679,84,84,Medium
