name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,total_interactions,mean_score,std_score,median_score,high_score_interactions,medium_score_interactions,low_score_interactions,category
RANDOM_MGC_618,6,36,6,6,-591.1490000000001,-591.1490000000001,-98.52483333333336,-98.52483333333336,11474.387541805556,107.11856767995712,-40.895,-180.90375,-21.67675,-269.076,2.561,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.791759469228055,2.449489742783178,-30.0,3.2841611111111115,small,-0.6397101344565026,-0.6397101344565026,6,-98.52483333333336,107.11856767995712,-40.895,2,2,2,RANDOM
RANDOM_MGC_625,20,400,20,20,-164.077,-164.077,-8.20385,-8.20385,593.7597384275,24.367185689519008,-2.397,-22.31675,12.78525,-65.245,24.026,0.1,0.15,0.75,2.995732273553991,4.47213595499958,-30.0,0.2734616666666666,medium,0.894487786883617,0.894487786883617,20,-8.20385,24.367185689519008,-2.397,2,3,15,RANDOM
RANDOM_MGC_619,20,400,20,20,151.241,151.241,7.562050000000001,7.562050000000001,158.58378874749997,12.593005548617056,10.7055,4.6635,14.49875,-31.296,27.901,0.0,0.05,0.95,2.995732273553991,4.47213595499958,-30.0,-0.2520683333333334,medium,2.982770860775568,2.982770860775568,20,7.562050000000001,12.593005548617056,10.7055,0,1,19,RANDOM
RANDOM_MGC_620,20,400,20,20,-19.364999999999988,-19.364999999999988,-0.9682499999999994,-0.9682499999999994,260.97920488750003,16.154850816008796,7.336,-14.40375,10.5035,-34.998,14.828,0.0,0.15,0.85,2.995732273553991,4.47213595499958,-30.0,0.0322749999999999,medium,1.7970918042295214,1.7970918042295214,20,-0.9682499999999994,16.154850816008796,7.336,0,3,17,RANDOM
RANDOM_MGC_621,12,144,12,12,-100.284,-100.284,-8.357,-8.357,415.842662,20.39222062454209,-4.344,-21.33125,4.16375,-46.098,21.226,0.0,0.1666666666666666,0.8333333333333334,2.4849066497880004,3.4641016151377544,-30.0,0.2785666666666666,medium,1.0613361045119625,1.0613361045119625,12,-8.357,20.39222062454209,-4.344,0,2,10,RANDOM
RANDOM_MGC_629,20,400,20,20,-214.255,-214.255,-10.712749999999998,-10.712749999999998,700.5498745875,26.46790272362924,-1.7645,-27.2595,5.679,-80.806,23.847,0.15,0.15,0.7,2.995732273553991,4.47213595499958,-30.0,0.3570916666666666,medium,0.728703373342131,0.728703373342131,20,-10.712749999999998,26.46790272362924,-1.7645,3,3,14,RANDOM
RANDOM_MGC_622,6,36,6,6,5.078999999999997,5.078999999999997,0.8464999999999995,0.8464999999999995,195.28559625,13.974462288403084,7.981999999999999,-5.2802500000000006,9.017,-25.468,14.922,0.0,0.1666666666666666,0.8333333333333334,1.791759469228055,2.449489742783178,-30.0,-0.0282166666666666,small,2.207347901006426,2.207347901006426,6,0.8464999999999995,13.974462288403084,7.981999999999999,0,1,5,RANDOM
RANDOM_MGC_623,6,36,6,6,71.949,71.949,11.9915,11.9915,6.118628916666665,2.473586246053827,12.446000000000002,11.54325,13.33525,7.113,15.07,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.3997166666666666,small,16.975959527180454,16.975959527180454,6,11.9915,2.473586246053827,12.446000000000002,0,0,6,RANDOM
RANDOM_MGC_624,12,144,12,12,105.915,105.915,8.82625,8.82625,49.82434052083333,7.058635882437437,9.1385,4.215,13.955,-5.368,22.482,0.0,0.0,1.0,2.4849066497880004,3.4641016151377544,-30.0,-0.2942083333333333,medium,5.500531639066896,5.500531639066896,12,8.82625,7.058635882437437,9.1385,0,0,12,RANDOM
RANDOM_MGC_626,6,36,6,6,5.622999999999999,5.622999999999999,0.9371666666666666,0.9371666666666666,51.1765961388889,7.153781946557282,-0.8445,-4.61775,7.92,-8.003,10.349,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.0312388888888888,small,4.324588993316326,4.324588993316326,6,0.9371666666666666,7.153781946557282,-0.8445,0,0,6,RANDOM
RANDOM_MGC_627,6,36,6,6,78.143,78.143,13.023833333333334,13.023833333333334,29.867828138888893,5.465146671306169,13.881,10.88225,17.7505,2.85,18.608,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.4341277777777778,small,7.872402319817457,7.872402319817457,6,13.023833333333334,5.465146671306169,13.881,0,0,6,RANDOM
RANDOM_MGC_628,20,400,20,20,21.577,21.577,1.07885,1.07885,252.2273695275001,15.88166771870952,8.615,-11.67925,10.95925,-35.094,18.652,0.0,0.1,0.9,2.995732273553991,4.47213595499958,-30.0,-0.0359616666666666,medium,1.9569009093035816,1.9569009093035816,20,1.07885,15.88166771870952,8.615,0,2,18,RANDOM
